affiliation,topic,mean_before,mean_after,mean_diff,p_value,direction,p_adj,significant
ind,The Holy Spirit and Divine Inspiration,0.1367830366680851,0.12437825277685188,-0.012404783891233229,0.3910410131418678,decrease,0.8981604482510959,False
kfu,Forgiveness,0.013079327100000001,0.0084757981875,-0.004603528912500002,0.45951426395545236,decrease,0.9297371053170194,False
ind,The Mercy and Judgment of God,0.027922937919148936,0.02137642146666666,-0.006546516452482276,0.46147032108856456,decrease,0.9297371053170194,False
kfu,"Truth, Lies, and Spiritual Warfare",0.020337167166666666,0.009130781962499999,-0.011206385204166667,0.4648685526585097,decrease,0.9297371053170194,False
gru,The Danish Church and National Identity,0.018908304796031745,0.021532859117968754,0.0026245543219370095,0.6458705286886689,increase,0.93804540018477,False
tid,"Wealth, Poverty, and Spiritual Riches2",0.030265940527272727,0.023627851651666663,-0.006638088875606064,0.5120172503478,decrease,0.93804540018477,False
kfu,The love and sacrifice of Christ,0.03709690696666667,0.021942241368749997,-0.015154665597916672,0.5655267898172567,decrease,0.93804540018477,False
gru,Christmas and Incarnation,0.027161343962698415,0.02360776116953125,-0.0035535827931671635,0.6221773185219364,decrease,0.93804540018477,False
kfu,Lifes Path and Divine Guidance,0.069349374,0.05595051203125001,-0.013398861968749995,0.47953791977907045,decrease,0.93804540018477,False
kfu,Human Interaction and  Evangelism,0.10245912051666667,0.08934551354375,-0.013113606972916664,0.6240083375650075,decrease,0.93804540018477,False
tid,The love and sacrifice of Christ,0.031863247429090906,0.02726448876333333,-0.0045987586657575755,0.6528753537683549,decrease,0.93804540018477,False
tid,The people of Israel,0.005351586583636363,0.007811775516666667,0.0024601889330303035,0.5680922021076236,increase,0.93804540018477,False
tid,The Danish Church and National Identity,0.020169861172727278,0.015143148371666667,-0.005026712801060611,0.5030050561976392,decrease,0.93804540018477,False
tid,"Light/Darkness, and Spiritual Fruitfulness",0.01867673329090909,0.025846969418333334,0.007170236127424245,0.5067388088465485,increase,0.93804540018477,False
tid,The Name of Jesus,0.01581552743636364,0.012648429406666663,-0.003167098029696976,0.6088002235561115,decrease,0.93804540018477,False
ind,The Danish Church and National Identity,0.017656291963829784,0.02027869312222222,0.0026224011583924345,0.5603531155459085,increase,0.93804540018477,False
ind,Lifes Path and Divine Guidance,0.0685577795393617,0.06388419702407408,-0.004673582515287614,0.6205765069879501,decrease,0.93804540018477,False
ind,The Name of Jesus,0.033854563002127656,0.030118033688888886,-0.0037365293132387706,0.6292292844673391,decrease,0.93804540018477,False
ind,The word of God and its reception,0.023266343524468092,0.025820679302777778,0.0025543357783096854,0.5839994741033303,increase,0.93804540018477,False
ind,"Truth, Lies, and Spiritual Warfare",0.020438206157446806,0.02373140751203703,0.0032932013545902243,0.6501116268545755,increase,0.93804540018477,False
