affiliation,topic,mean_before,mean_after,mean_diff,p_value,direction,p_adj,significant
ind,"Death, Resurrection, and Eternal Life",0.02089770117111111,0.016050164253731344,-0.004847536917379765,0.39266614217438434,decrease,0.9002025923836943,False
ind,Serving God in Life and Ministry ,0.015410757110370368,0.018043481535820895,0.0026327244254505267,0.670150818774528,increase,0.9002025923836943,False
ind,The people of Israel,0.030824054547407404,0.026498290398507464,-0.00432576414889994,0.5530906462995315,decrease,0.9002025923836943,False
tid,Faith and doubt,0.017241499286419753,0.02417415298529412,0.0069326536988743685,0.4895800779516448,increase,0.9002025923836943,False
gru,"Truth, Lies, and Spiritual Warfare",0.015083404663414637,0.01717209587,0.0020886912065853636,0.6881143637431593,increase,0.9107395990718284,False
tid,"Death, Resurrection, and Eternal Life",0.032801593893827155,0.039617383229411766,0.006815789335584611,0.7009468305455607,increase,0.9113510149617313,False
gru,The word of God and its reception,0.04167599948536585,0.04507526285111111,0.00339926336574526,0.7088285671924577,increase,0.9113510149617313,False
gru,"Light/Darkness, and Spiritual Fruitfulness",0.029687319018902442,0.03282051836333333,0.0031331993444308863,0.7317411093908621,increase,0.9275591527489802,False
tid,"Sin, Forgiveness, and Salvation",0.03156711633703703,0.034914992002941174,0.0033478756659041445,0.7877940231868883,increase,0.9329139748265782,False
gru,Divine Will and Worldly Challenges,0.033860064885975615,0.03595204483444445,0.002091979948468832,0.7763314332031589,increase,0.9329139748265782,False
ind,Christmas and Incarnation,0.022452728677777777,0.01990988663283582,-0.0025428420449419564,0.7493448555549374,decrease,0.9329139748265782,False
tid,Discipleship and Following Jesus,0.02191378618271605,0.024654204397058826,0.002740418214342774,0.7691472412901398,increase,0.9329139748265782,False
ind,Jesus and the sinners,0.021992810977037036,0.020505117259701496,-0.00148769371733554,0.786737881057215,decrease,0.9329139748265782,False
ind,The Holy Spirit and Divine Inspiration,0.13136118020222223,0.12771190178208958,-0.0036492784201326567,0.8194390625106811,decrease,0.9436945042692422,False
ind,Divine Will and Worldly Challenges,0.05351918751407408,0.055296159852238805,0.001776972338164727,0.8434004483005959,increase,0.9436945042692422,False
gru,Discipleship and Following Jesus,0.026996774768292684,0.028556872576666666,0.0015600978083739822,0.8204062841941313,increase,0.9436945042692422,False
gru,Lifes Path and Divine Guidance,0.03867230450304878,0.03698235479111111,-0.0016899497119376716,0.8453972913878779,decrease,0.9436945042692422,False
tid,The love and sacrifice of Christ,0.028795627416049387,0.031055944520588227,0.0022603171045388407,0.8493250538423179,increase,0.9436945042692422,False
gru,Power and freedom,0.02756280749512195,0.02863000625333333,0.001067198758211381,0.8960978246459504,increase,0.9835220026601895,False
ind,Forgiveness,0.016904619461481484,0.016538188707462684,-0.0003664307540187997,0.9364512539070071,decrease,0.9938787508364998,False
ind,"Light/Darkness, and Spiritual Fruitfulness",0.016427409033333333,0.016326970273134327,-0.00010043876019900574,0.9882353072780986,decrease,0.9938787508364998,False
tid,The Mercy and Judgment of God,0.03612610637654321,0.03575531316470588,-0.0003707932118373336,0.9732510469516524,decrease,0.9938787508364998,False
ind,Discipleship and Following Jesus,0.07160566596666668,0.07134019050298508,-0.00026547546368159425,0.9811730540484227,decrease,0.9938787508364998,False
gru,Narratives of Jesus,0.020510749923170733,0.02003797576555556,-0.0004727741576151731,0.9268310129705843,decrease,0.9938787508364998,False
ind,The Mercy and Judgment of God,0.024401095466666665,0.024466593952238803,6.549848557213869e-05,0.9938787508364998,increase,0.9938787508364998,False
gru,"Wealth, Poverty, and Spiritual Riches",0.03697627401036585,0.036749112834444445,-0.00022716117592140594,0.9812291854212274,decrease,0.9938787508364998,False
ind,Faith and doubt,0.03332570587407408,0.033481026119402985,0.00015532024532890348,0.9851437483348893,increase,0.9938787508364998,False
