id_præd;id_præst;præst_navn;id_dok;dato;periode;helligdag;udgivelses_type;udgiver;stift;år_født;år_død;stilling;affiliation;afviger;txt;final;bemærkninger;;;;;
49;17;Paul Christian Brodersen;pr49_17;1941-12-25;1940-1945;jul_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
50;17;Paul Christian Brodersen;pr50_17;1941-11-23;1940-1945;24tri_1;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
51;17;Paul Christian Brodersen;pr51_17;1941-08-17;1940-1945;10tri_1;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
52;17;Paul Christian Brodersen;pr52_17;1942-02-11;1940-1945;1fas_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
53;17;Paul Christian Brodersen;pr53_17;1942-02-04;1940-1945;fas_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
54;17;Paul Christian Brodersen;pr54_17;1942-01-25;1940-1945;3hel_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
55;17;Paul Christian Brodersen;pr55_17;1942-04-19;1940-1945;2pås_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
56;17;Paul Christian Brodersen;pr56_17;1942-04-05;1940-1945;pås_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
57;17;Paul Christian Brodersen;pr57_17;1942-04-03;1940-1945;lan_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
58;17;Paul Christian Brodersen;pr58_17;1942-08-16;1940-1945;11tri_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
59;17;Paul Christian Brodersen;pr59_17;1942-05-31;1940-1945;tri_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
60;17;Paul Christian Brodersen;pr60_17;1942-05-01;1940-1945;bed_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
61;17;Paul Christian Brodersen;pr61_17;1942-11-01;1940-1945;all_2;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;;;;;;
62;17;Paul Christian Brodersen;pr62_17;1943-03-21;1940-1945;2fas_1;psa;J. Frimodts Forlag;køb;1892;1974;pro;fje;falsk;sandt;sandt;Fjernet fra sentiment;;;;;
63;18;Paul Theodor Nedergaard;pr63_18;1942-04-26;1940-1945;3pås_2;1pre;O. Lohses Forlag;køb;1895;1970;kap;kce;falsk;sandt;sandt;Fjernet fra sentiment;;;;;
64;19;Kaj Harald Leininger Munk;pr64_19;1940-04-14;1940-1945;3pås_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
65;19;Kaj Harald Leininger Munk;pr65_19;1940-04-28;1940-1945;5pås_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
66;19;Kaj Harald Leininger Munk;pr66_19;1940-05-02;1940-1945;Krh_2;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
67;19;Kaj Harald Leininger Munk;pr67_19;1940-05-19;1940-1945;tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
68;19;Kaj Harald Leininger Munk;pr68_19;1941-04-06;1940-1945;pal_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
69;19;Kaj Harald Leininger Munk;pr69_19;1941-04-13;1940-1945;pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
70;19;Kaj Harald Leininger Munk;pr70_19;1941-04-20;1940-1945;1pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
71;19;Kaj Harald Leininger Munk;pr71_19;1941-04-24;1940-1945;2pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
72;19;Kaj Harald Leininger Munk;pr72_19;1941-05-04;1940-1945;3pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
73;19;Kaj Harald Leininger Munk;pr73_19;1941-05-11;1940-1945;4pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
74;19;Kaj Harald Leininger Munk;pr74_19;1941-05-18;1940-1945;5pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
75;19;Kaj Harald Leininger Munk;pr75_19;1941-05-25;1940-1945;6pås_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Biografisk, om hans mor;;;;;
76;19;Kaj Harald Leininger Munk;pr76_19;1941-06-01;1940-1945;pin_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
77;19;Kaj Harald Leininger Munk;pr77_19;1941-06-01;1940-1945;pin_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
78;19;Kaj Harald Leininger Munk;pr78_19;1941-06-08;1940-1945;tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
79;19;Kaj Harald Leininger Munk;pr79_19;1941-06-15;1940-1945;1tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
80;19;Kaj Harald Leininger Munk;pr80_19;1941-06-22;1940-1945;2tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
81;19;Kaj Harald Leininger Munk;pr81_19;1941-06-29;1940-1945;3tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Tydelig krigstema;;;;;
82;19;Kaj Harald Leininger Munk;pr82_19;1941-07-06;1940-1945;4tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
83;19;Kaj Harald Leininger Munk;pr83_19;1941-07-13;1940-1945;5tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
84;19;Kaj Harald Leininger Munk;pr84_19;1941-07-20;1940-1945;6tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
85;19;Kaj Harald Leininger Munk;pr85_19;1941-07-27;1940-1945;7tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
86;19;Kaj Harald Leininger Munk;pr86_19;1941-08-03;1940-1945;8tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
87;19;Kaj Harald Leininger Munk;pr87_19;1941-08-10;1940-1945;9tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
88;19;Kaj Harald Leininger Munk;pr88_19;1941-08-17;1940-1945;10tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
89;19;Kaj Harald Leininger Munk;pr89_19;1941-08-24;1940-1945;11tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
90;19;Kaj Harald Leininger Munk;pr90_19;1941-08-31;1940-1945;12tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
91;19;Kaj Harald Leininger Munk;pr91_19;1941-09-07;1940-1945;13tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
92;19;Kaj Harald Leininger Munk;pr92_19;1941-09-14;1940-1945;14tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Theodice;;;;;
93;19;Kaj Harald Leininger Munk;pr93_19;1941-09-21;1940-1945;15tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
94;19;Kaj Harald Leininger Munk;pr94_19;1941-09-28;1940-1945;16tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
95;19;Kaj Harald Leininger Munk;pr95_19;1941-10-05;1940-1945;17tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;Om nationen og besættelsen;;;;;
96;19;Kaj Harald Leininger Munk;pr96_19;1941-10-05;1940-1945;17tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
97;19;Kaj Harald Leininger Munk;pr97_19;1941-10-12;1940-1945;18tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
98;19;Kaj Harald Leininger Munk;pr98_19;1941-10-19;1940-1945;19tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
99;19;Kaj Harald Leininger Munk;pr99_19;1941-10-26;1940-1945;20tri_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
100;19;Kaj Harald Leininger Munk;pr100_19;1941-11-02;1940-1945;all_1;psa;Aalborg Universitetesforlag;rib;1898;1944;præ;NA;falsk;sandt;sandt;;;;;;
